ABSORB	swenglish absorb
RAMVIK	Village in north Sweden. Known as the home of former prime minster Thorbjörn Fälldin
RAND	stripe
RAPS	rapeseed
RARA	adorable	rare
RARITET	rarity
RAST	(a) break
RATIONELL	rational
REBBENES	?
REDA	order
REDALEN	village in central Norway
REDD	ready
REGOLIT	regolith
REKO	slang OK
REKTANGEL	rectangle
RENLIG	cleanly
RENS	small Danish village by the German border
RESA	travel	raise (a building)
RESLIG	tall
RESURS	resource
RETRÄTT	retreat
REXBO	locality
RIBBA	bar (as for high jump)
RICKARD	Swedish boy name
RIGEL	the brightest star in Orion
RIGGA	(to) rig
RIKTIG	real/correct
RILL	reel (dance)
RINGSJÖN	lake in Småland. 'Ring Lake'
RINGSKÄR	small rocky island on the east coast
RINGUM	?
RIPE	?
RISTEN	Swedish lake
RITVA	Finnish girl name
RIVAL	rival
ROFYLLD	peacefull
ROGER	Swedish boy name
ROSOR	roses
ROTERA	rotate
RUDOLF	Swedish boy name
RUGGA	(to) moult (for birds)
RULL	(a) roll
RUND	round
RUNDEL	circle
RUSCH	rush
RUSIG	drunken
RUSTIK	rustic
RUTA	square
RUTBO	Part of the Swedish city of Avesta
RUTER	diamond (card suit)
RUTGER	Swedish boy name
RÅÅN	creek in south Sweden. Should really be named 'Råå-ån' (The Råå creek)
RÄFFLA	ridge
RÄNDER	stripes
RÄNTA	interest rate
RÄTTVIK	place in central Sweden. My father is from Rättvik.
RÖNN	rowan tree
RÖNNBÄR	rowan berry
RÖNNSKÄR	Island in north Sweden. Location of a major Smelter.
RÖNÅS	place in south Sweden
RÖRA	(to) touch	stir	mess
SAGOLIK	fabulous	like a fairytale
SALBO	place in central Sweden
SALMI	place in central Finland
SALONG	salon
SALTSKÄR	?
SAMLA	collect
SAMTID	contemporary time
SANELA	Bosnian girl name
SANNI	Finnish girl name
SARALISA	Swedish girl name
SARITA	Indian girl name
SATIN	satin
SAXÅN	'Scissor Creek'. Place in west Sweden
SEBASTIAN	Swedish boy name
SEKIN	sequin
SEMVIK	?
SENIOR	senior
SIGNE	Swedish girl name
SIGNERA	(to) sign
SIGNUM	signum (really a latin word)
SIGRID	Swedish girl name
SILJAN	Major Swedish lake
SINDAL	town in north Denmark
SIRLIG	graceful & fragile
SITTA	(to) sit
SJÖVIK	'Lake Bay', village in west Sweden
SKAFFA	obtain
SKALA	peel	scale (of a map)
SKIMMER	(a) shimmer
SKIMRA	(to) shimmer
SKIR	?
SKOJ	fun
SKOJIG	funny
SKRAPA	scrape
SKRIBENT	writer
SKRIN	shrine	box
SKRUVSTA	?
SKUBB	slang can mean 'a run' and many other things
SKUGGIG	shadowy
SKUTTA	(to) hop
SKYDD	protection
SKYDDA	protect
SKÅLIG	'bowly'
SKÄNKA	(to) give
SKÄR	cuts	tiny rocky island	pink
SKÖLDPADDA	turtle
SLABANG	slang slabang!
SLINGA	loop	trail
SLIPAD	sharpened
SLITBAR	a made up word that would mean 'something that wears well' if it existed
SLOM	smelt (fish)
SLUGGER	swenglish slugger
SLUGIS	made up -IS word 'Slug' means 'sly', so 'slugis' could mean 'sly one'
SLUMRA	slumber
SLÅN	blackthorn or sloe
SLÄTTEN	the plain. Several tiny Swedish places have this name
SLÄTTHULT	?
SMAKA	(to) taste
SMARTA	smart (plural)
SMASKA	munch
SMEDSTA	'Blacksmith City' in north Sweden
SMIDD	forged (in blacksmithing)
SMILA	(fake) smile
SMYCKA	adorn
SMÅDAL	'Small Valley'. Tiny village in west Sweden
SMÅLAND	'Small Lands'. The province where IKEA was born. The IKEA kids play area has this name as a punny read of the word as 'land of the small'
SMÄRT	tall, thin & good looking
SNACK	slang talk
SNARKA	snore
SNIGLAR	snails
SNILLE	genius
SNITSIG	slang snazzy
SNITTA	(to) cut (flowers)
SNODD	twisty string	slang stolen
SNUDDA	(barely) touch
SNURR	spin
SNÅLIS	slang tightwad
SNÅR	thicket
SNÄLL	nice/kind
SNÄRTIG	cutting (speech)	slender
SNÖA	(to) snow
SNÖFLINGA	several snow flakes stuck together
SNÖSTJÄRNA	individual snow flake
SOCKERÄRT	sugarsnap pea
SODA	soda
SOFIA	Swedish girl name
SOL	sun
SOLIG	sunny
SOLSTA	?
SOLVAR	Norwegian boy name
SOLVEIG	Swedish girl name
SOMRIG	'summery'
SORLA	?
SORTERA	(to) sort
SORTI	exit
SOVA	(to) sleep
SPALT	column
SPARKA	(to) kick
SPARSAM	frugal
SPEJA	(to) scout
SPOLING	brat
SPONTAN	spontaneous
SPRALLIG	sprightly
SPÄNN	slang 1 Krona ($0.14)
SPÄRRA	(to) block
SPÖKA	(to) haunt
STABIL	stable
STAVE	place in southwest Norway
STEFAN	Swedish boy name
STEK	steak
STEKA	(to) fry
STEN	stone	Swedish boy name
STENSTORP	town in Central Sweden
STIBY	village in south east Sweden
STICKA	(to) knit	(to) leave	(to) stab
STIL	style
STJÄLK	stalk (plant stem)
STJÄRNA	star
STOCKHOLM	the capital of Sweden
STOLMEN	Island in west Norway
STOPP	stop
STORM	storm
STORNÄS	?
STORÅ	?
STRATOSFÄR	stratosphere
STRECKET	the line
STRIB	?
STRIKT	strict
STRILA	spray
STRIND	?
STRÅ	straw
STRÅLANDE	brilliant
STUGA	cottage
STYCKE	piece
STÄLL	stand
SULTAN	sultan
SUMMERA	(to) sum
SUNE	Swedish boy name
SUNNAN	southerly wind
SUPERFIN	super fine
SUSSA	(to) sleep (baby talk)
SUVERÄN	superior	independent
SVAJS	?
SVALA	swallow
SVALKA	(lightly) chill
SVEJE	?
SVIND	?
SVINGA	(to) swing
SVIT	suite
SY	(to) sow
SYLLING	village in south Norway
SYNTES	synthesis
SYREN	Lilac
SÄTER	city in central Sweden
SÄVERN	?
SÖRLI	Norwegian mountain village
SÖRUM	city in south Norway
TACKSAM	grateful
TAFJORD	locality
TAG	(to) take
TAJMA	swenglish (to) time
TAJT	swenglish tight
TALLVIK	?
TANJA	Russian girl name
TASSA	to walk quietly and possibly sneakily, like a cat (there has to be a better word?)
TECKEN	sign
TEKLA	Swedish girl name
TEPPAS	?
TERJE	Norwegian boy name
TERMOSFÄR	Thermosphere
TERTIAL	tertile (third of a year)
TEXTUR	texture
THISTED	city in north Denmark
TIDLÖSA	timeless
TILLAGA	(to) cook
TINDRA	twinkle
TISTEL	thistle
TITTA	look
TJUSIG	nice looking
TJÖME	island village in south east Norway
TOBIAS	Swedish boy name
TOBO	small town in central Sweden
TOFTBO	?
TOGA	toga
TOKIG	crazy
TOLG	a village in Småland
TOLGA	town in southeast Norway
TORBJÖRN	Swedish boy name
TORKA	(to) dry	drought
TORSBY	'Thors Village' . Swedish town in the forests near Norway.
TOSTARP	?
TRAKTOR	tractor
TRAMPA	tread	pedal
TRANBY	?
TRANDAL	'Crane Valley' in west Norway
TRATT	funnel
TRENSUM	tiny village in south Sweden
TRILLING	triplet
TRIPP	trip
TRIVSAM	pleasant
TRIVSEL	well being
TROFAST	faithful
TROJKA	troika
TROLIG	likely
TROLLFJORDEN	'Troll Fjord', Photogenic fjord in north Norway
TROLLSTA	'Troll Town'. SMall place south of Stockholm
TROLSK	magic/enchanted	troll-like
TROMSNES	a small Norwegian village/farm
TROMSÖ	a city in arctic Norway. Home of Röyksopp
TRONDHEIM	one of Norway's biggest cities
TRONES	area in the Norwegian city of Verdal
TROSS	strong rope used on boats
TRULS	Scandinavian boy name
TRYGG	secure
TRYTA	run short	be deficient
TRÄD	tree
TULLERÖ	an island in the Stockholm archipelago
TULLSTA	?
TULPAN	tulip
TUNDRA	tundra
TUPPLUR	nap
TVEIT	place in west Norway
TVILLING	twin
TVÄTTA	wash
TYDA	interpret
TYGLÖSA	clothless
TYLÖSAND	An exclusive Swedish beach town. Home to Roxette star Per Gessle
TÅRNBY	Danish city near Copenhagen
TÅRSTA	'Tear Town'. Place in west Sweden
TÄLJARE	numerator
TÄRNAN	'The Tern'. Lake in central Sweden.
TÄRNÖ	'Tern Island'. In south Sweden
ULDUM	Danish town
ULSBERG	a place in Norway
UNG	young
UNNI	Swedish girl name
UPPENBAR	obvious
UPPLEVA	(to) experience
UPPTÄCKA	discover
URBAN	urban
USTA	?
UTBY	small village in West Sweden
UTMÄRKT	excellent
UVÅS	'Owl Ridge'. Obscure place in central Sweden.
VACKER	beautiful
VAKEN	awake
VALBY	locality
VALSUND	?
VANVIK	locality
VARIERA	vary
VARSAM	careful
VASEN	the vase
VASS	sharp	reed
VEJMON	village in north Sweden
VERKLIG	real
VERKSAM	active
VERSAL	capital letter
VESSLA	weasel
VETE	wheat
VIDE	willow
VIKA	(to) fold
VIKARE	something (or someone) that folds
VIKIS	made up -IS word 'Vika' means 'to fold', so 'vikis' could mean 'fold thingie'
VILA	rest
VILDBÄR	wild berries
VILSE	lost
VILSHULT	village in south Sweden
VINDE	?
VINJETT	vignette
VINK	wave	hint
VINNA	(to) win
VINSTRA	village and river in central Norway
VIPPA	flap
VIREN	?
VIRRE	?
VISEN	a lake in Småland
VISTOFTA	place in south Sweden
VITAMIN	vitamin
VITAMINER	vitamins
VITSKÄR	tiny godforsaken Swedish island
VITTEN	19th centry small coin. Now only used in the expression 'not worth a vitten'
VIVAN	?
VOLYM	volume
VRETA	?
VRETEN	a station in the Stockholm subway
VURM	craze
VÅG	wave
VÅGEN	the wave
VÅLLÖ	?
VÅRLJUNG	spring heath
VÄDD	teasel
VÄGGIS	made up -IS word 'Vägg' means 'wall', so 'väggis' could mean 'wall thingie'
VÄGHULT	tiny place in Småland
VÄNLIG	friendly
VÄNNA	place in west Sweden
VÄRDE	value
VÄRLD	world
VÄRME	warmth
VÄV	(a) weave
VÄXT	(a) plant
WILMA	Swedish girl name
YNGSJÖ	coastal village in south Sweden
YSBY	village in south Sweden
YTTERLIG	additional	extreme
ZITA	The patron saint of maidsW	Stockholm's oldest movie theatre
ÅDAL	locality
ÅNES	locality
ÅNN	place in north Sweden
ÅRLIG	yearly
ÅRSTID	season (one of the four)
ÅSARP	place in Småland
ÅSELE	town in north Sweden
ÅSUNDEN	famous rauk site on Gotland
ÄLMHULT	city in Småland where the first IKEA store opened in 1958
ÄNGA	rural place in central Sweden
ÄPPLARÖ	an island in the Stockholm archipelago
ÄRBAR	honorable
ÄTRAN	place and river in south Sweden
ÖDMJUK	humble
ÖGLA	loop (on a string)
ÖNSKA	wish
ÖPPEN	open
ÖRESUND	the strait between Sweden and Denmark
ÖRTER	herbs
ÖSTERBYMO	village in Sweden
ÖSTERÖ	'East Island', Island in west Finland.
